
圆管,截面60*3,长度1.8米,两端铰接,Q235,efe921920b9772caa728cc77ea082ce4
圆管,截面50*3,长度1.8米,两端铰接,Q235,df4d0f477496b92c9ce269706483d93a
圆管,截面70*3,长度1.8米,两端铰接,Q235,130c2e14093cc770cdee2bb0cd804687
圆管,截面60*3,长度1.5米,两端铰接,Q235,7257274202a61a77304f02aced278eec
圆管,截面60*3,长度0.3米,两端刚接,Q235,91cc185306bbbc8dd808cb89b79ee7d2
圆管,截面60*3,长度2.1米,两端铰接,Q235,51fe8d9ea398fda4945650e28c00b01a
圆管,截面60*3,长度1.8米,两端刚接,Q235,f142c73252ada6ae40faee8dcd85598c
圆管,截面60*3,长度1.8米,两端铰接,Q345,ae3b00167ba9ebe7895efa512af308f3
方钢管,截面48*3,长度1.8米,两端铰接,Q235,c9f690835d80f2c3481eda5b094a77f9
工字,截面70*40*2.8*4.6,长度1.8米,两端铰接,Q235,4b5893fcc461160169a133aa8ded2124
工字,截面70*50*2.8*4.6,长度1.8米,两端铰接,Q235,e67524b443864dbd24c7358488d784e0
等边角钢,截面56*5,长度1.8米,两端铰接,Q235,5ff4f16a7fcbccdc4422942b0d0158e4
槽钢,截面50*30*4.5*6,长度1.8米,两端铰接,Q235,44082b6a05c81334733410f43972b9ad
